Identifier,Kit,Kit_ID,Primer1,Primer2,Label,Filename1,Filename2
I0001,NextSeq_Mid150,Next001,KAM3732,KAM3748,SARS1_r1_neg1,I0001_R1.fastq.gz,I0001_R2.fastq.gz
I0002,NextSeq_Mid150,Next001,KAM3732,KAM3749,SARS1_r1_neg2,I0002_R1.fastq.gz,I0002_R2.fastq.gz
I0005,NextSeq_Mid150,Next001,KAM3734,KAM3748,SARS1_r1_sel1,I0005_R1.fastq.gz,I0005_R2.fastq.gz
I0006,NextSeq_Mid150,Next001,KAM3732,KAM3750,SARS1_r1_sel2,I0006_R1.fastq.gz,I0006_R2.fastq.gz
I0007,NextSeq_Mid150,Next001,KAM3733,KAM3750,SARS1_r2_neg1,I0007_R1.fastq.gz,I0007_R2.fastq.gz
I0008,NextSeq_Mid150,Next001,KAM3734,KAM3749,SARS1_r2_neg2,I0008_R1.fastq.gz,I0008_R2.fastq.gz
I0011,NextSeq_Mid150,Next001,KAM3732,KAM3800,SARS1_r2_sel1,I0011_R1.fastq.gz,I0011_R2.fastq.gz
I0012,NextSeq_Mid150,Next001,KAM3735,KAM3800,SARS1_r2_sel2,I0012_R1.fastq.gz,I0012_R2.fastq.gz
I0013,NextSeq_Mid150,Next001,KAM3735,KAM3750,SARS1_r3_neg1,I0013_R1.fastq.gz,I0013_R2.fastq.gz
I0014,NextSeq_Mid150,Next001,KAM3734,KAM3800,SARS1_r3_neg2,I0014_R1.fastq.gz,I0014_R2.fastq.gz
I0017,NextSeq_Mid150,Next001,KAM3736,KAM3748,SARS1_r3_sel1,I0017_R1.fastq.gz,I0017_R2.fastq.gz
I0018,NextSeq_Mid150,Next001,KAM3732,KAM3801,SARS1_r3_sel2,I0018_R1.fastq.gz,I0018_R2.fastq.gz
I0032,NextSeq_Mid,Next001,KAM3737,KAM3750,VSVG_r1_neg,I0032_R1.fastq.gz,I0032_R2.fastq.gz
I0033,NextSeq_Mid,Next001,KAM3735,KAM3802,VSVG_r2_neg1,I0033_R1.fastq.gz,I0033_R2.fastq.gz
I0036,NextSeq_Mid,Next001,KAM3738,KAM3748,VSVG_r1_sel,I0036_R1.fastq.gz,I0036_R2.fastq.gz
I0072,NextSeq_Mid150,Next001,KAM3734,KAM4041,sortseq_rep_1,I0072_R1.fastq.gz,I0072_R2.fastq.gz
I0073,NextSeq_Mid150,Next001,KAM3735,KAM4041,sortseq_rep_1,I0073_R1.fastq.gz,I0073_R2.fastq.gz
I0074,NextSeq_Mid150,Next001,KAM3736,KAM4041,sortseq_rep_1,I0074_R1.fastq.gz,I0074_R2.fastq.gz
I0075,NextSeq_Mid150,Next001,KAM3737,KAM4041,sortseq_rep_1,I0075_R1.fastq.gz,I0075_R2.fastq.gz
I0076,NextSeq_Mid150,Next001,KAM3738,KAM4041,sortseq_rep_1,I0076_R1.fastq.gz,I0076_R2.fastq.gz
I0077,NextSeq_Mid150,Next001,KAM3739,KAM4041,sortseq_rep_1,I0077_R1.fastq.gz,I0077_R2.fastq.gz
I0078,NextSeq_Mid150,Next001,KAM3740,KAM4041,sortseq_rep_1,I0078_R1.fastq.gz,I0078_R2.fastq.gz
I0079,NextSeq_Mid150,Next001,KAM3741,KAM4041,sortseq_rep_1,I0079_R1.fastq.gz,I0079_R2.fastq.gz
I0080,NextSeq_Mid150,Next001,KAM3742,KAM4041,sortseq_rep_2,I0080_R1.fastq.gz,I0080_R2.fastq.gz
I0081,NextSeq_Mid150,Next001,KAM3743,KAM4041,sortseq_rep_2,I0081_R1.fastq.gz,I0081_R2.fastq.gz
I0082,NextSeq_Mid150,Next001,KAM3732,KAM4042,sortseq_rep_2,I0082_R1.fastq.gz,I0082_R2.fastq.gz
I0083,NextSeq_Mid150,Next001,KAM3733,KAM4042,sortseq_rep_2,I0083_R1.fastq.gz,I0083_R2.fastq.gz
I0084,NextSeq_Mid150,Next001,KAM3734,KAM4042,sortseq_rep_2,I0084_R1.fastq.gz,I0084_R2.fastq.gz
I0085,NextSeq_Mid150,Next001,KAM3735,KAM4042,sortseq_rep_2,I0085_R1.fastq.gz,I0085_R2.fastq.gz
I0086,NextSeq_Mid150,Next001,KAM3736,KAM4042,sortseq_rep_2,I0086_R1.fastq.gz,I0086_R2.fastq.gz
I0087,NextSeq_Mid150,Next001,KAM3737,KAM4042,sortseq_rep_2,I0087_R1.fastq.gz,I0087_R2.fastq.gz
I0089,NextSeq_High,Next002,KAM3749,NS0013,sortseq_rep_4,I0089_R1.fastq.gz,I0089_R2.fastq.gz
I0090,NextSeq_High,Next002,KAM3750,NS0013,sortseq_rep_4,I0090_R1.fastq.gz,I0090_R2.fastq.gz
I0091,NextSeq_High,Next002,KAM3748,NS0014,sortseq_rep_4,I0091_R1.fastq.gz,I0091_R2.fastq.gz
I0092,NextSeq_High,Next002,KAM3749,NS0014,sortseq_rep_4,I0092_R1.fastq.gz,I0092_R2.fastq.gz
