index,template
I0088,0
I0089,0
I0090,0
I0091,1
I0092,0
I0093,0
I0094,19
I0095,5
I0096,10
I0097,0
I0098,907186
I0099,541923
I0100,549389
I0101,447902
I0102,965026
I0103,821291
I0104,1188624
I0105,892691
I0106,1080176
I0107,575344
I0108,854152
I0109,672593
I0110,1050217
I0111,1032987
I0112,814329
I0113,725182
I0114,1155634
I0115,997263
I0116,50683
I0117,18521
I0118,93953
I0119,77114
I0120,64661
I0121,36112
I0122,134184
I0123,37484
I0124,968775
I0125,1245351
I0126,1319967
I0127,1470852
I0128,60242
I0129,209844
I0130,121402
I0131,107390
I0132,1484851
I0133,1120055
I0134,1531329
I0135,2721073
I0136,633253
I0137,1479649
I0138,1660618
I0139,1524383
I0140,449768
I0141,416814
I0142,480434
I0143,285181
I0144,489073
I0145,231603
I0146,426741
I0147,150950
I0148,755977
I0149,710875
I0150,0
I0151,0
